TFAP2A_MA0003.3	TFAP2A
TFAP2B_MA0811.1	TFAP2B
TFAP2B(var.2)_MA0812.1	TFAP2B(var.2)
TFAP2B(var.3)_MA0813.1	TFAP2B(var.3)
TFAP2C_MA0524.2	TFAP2C
TFAP2C(var.2)_MA0814.1	TFAP2C(var.2)
TFAP2C(var.3)_MA0815.1	TFAP2C(var.3)
Ascl2_MA0816.1	Ascl2
Atoh1_MA0461.2	Atoh1
BHLHE40_MA0464.2	BHLHE40
BHLHE23_MA0817.1	BHLHE23
BHLHE22_MA0818.1	BHLHE22
CLOCK_MA0819.1	CLOCK
FIGLA_MA0820.1	FIGLA
HES5_MA0821.1	HES5
HES7_MA0822.1	HES7
HEY1_MA0823.1	HEY1
ID4_MA0824.1	ID4
MAX_MA0058.3	MAX
MNT_MA0825.1	MNT
OLIG1_MA0826.1	OLIG1
OLIG3_MA0827.1	OLIG3
SREBF2(var.2)_MA0828.1	SREBF2(var.2)
Srebf1(var.2)_MA0829.1	Srebf1(var.2)
TCF3_MA0522.2	TCF3
TCF4_MA0830.1	TCF4
Tcf21_MA0832.1	Tcf21
ATF4_MA0833.1	ATF4
ATF7_MA0834.1	ATF7
BATF3_MA0835.1	BATF3
CEBPB_MA0466.2	CEBPB
CEBPD_MA0836.1	CEBPD
CEBPE_MA0837.1	CEBPE
CEBPG_MA0838.1	CEBPG
CREB3L1_MA0839.1	CREB3L1
Creb5_MA0840.1	Creb5
Mafb_MA0117.2	Mafb
NFE2_MA0841.1	NFE2
NRL_MA0842.1	NRL
TEF_MA0843.1	TEF
XBP1_MA0844.1	XBP1
FOXB1_MA0845.1	FOXB1
FOXC1_MA0032.2	FOXC1
FOXC2_MA0846.1	FOXC2
FOXD2_MA0847.1	FOXD2
FOXO4_MA0848.1	FOXO4
FOXO6_MA0849.1	FOXO6
FOXP3_MA0850.1	FOXP3
Foxj3_MA0851.1	Foxj3
Alx4_MA0853.1	Alx4
Alx1_MA0854.1	Alx1
RXRB_MA0855.1	RXRB
RXRG_MA0856.1	RXRG
Rarb_MA0857.1	Rarb
Rarb(var.2)_MA0858.1	Rarb(var.2)
Rarg_MA0859.1	Rarg
Rarg(var.2)_MA0860.1	Rarg(var.2)
TP63_MA0525.2	TP63
TP53_MA0106.3	TP53
TP73_MA0861.1	TP73
GMEB2_MA0862.1	GMEB2
MTF1_MA0863.1	MTF1
E2F1_MA0024.3	E2F1
E2F2_MA0864.1	E2F2
E2F8_MA0865.1	E2F8
SOX21_MA0866.1	SOX21
SOX4_MA0867.1	SOX4
SOX8_MA0868.1	SOX8
Sox11_MA0869.1	Sox11
Sox1_MA0870.1	Sox1
TFEC_MA0871.1	TFEC
TFAP2A(var.3)_MA0872.1	TFAP2A(var.3)
ELK1_MA0028.2	ELK1
HOXD12_MA0873.1	HOXD12
Arx_MA0874.1	Arx
BARX1_MA0875.1	BARX1
BSX_MA0876.1	BSX
Barhl1_MA0877.1	Barhl1
CDX1_MA0878.1	CDX1
Dlx1_MA0879.1	Dlx1
Dlx3_MA0880.1	Dlx3
Dlx4_MA0881.1	Dlx4
DLX6_MA0882.1	DLX6
Dmbx1_MA0883.1	Dmbx1
DUXA_MA0884.1	DUXA
Dlx2_MA0885.1	Dlx2
EMX2_MA0886.1	EMX2
EVX1_MA0887.1	EVX1
EVX2_MA0888.1	EVX2
GBX1_MA0889.1	GBX1
GBX2_MA0890.1	GBX2
GSC2_MA0891.1	GSC2
GSX1_MA0892.1	GSX1
GSX2_MA0893.1	GSX2
HESX1_MA0894.1	HESX1
HMBOX1_MA0895.1	HMBOX1
Hmx1_MA0896.1	Hmx1
Hmx2_MA0897.1	Hmx2
Hmx3_MA0898.1	Hmx3
HOXA10_MA0899.1	HOXA10
HOXA2_MA0900.1	HOXA2
HOXB13_MA0901.1	HOXB13
HOXB2_MA0902.1	HOXB2
HOXB3_MA0903.1	HOXB3
Hoxb5_MA0904.1	Hoxb5
HOXC10_MA0905.1	HOXC10
HOXC12_MA0906.1	HOXC12
HOXC13_MA0907.1	HOXC13
HOXD11_MA0908.1	HOXD11
HOXD13_MA0909.1	HOXD13
Hoxd8_MA0910.1	Hoxd8
Hoxa11_MA0911.1	Hoxa11
Hoxd3_MA0912.1	Hoxd3
Hoxd9_MA0913.1	Hoxd9
ISL2_MA0914.1	ISL2
ASCL1_MA1100.1	ASCL1
BACH2_MA1101.1	BACH2
CREB1_MA0018.3	CREB1
CTCFL_MA1102.1	CTCFL
FOXK1_MA0852.2	FOXK1
FOXK2_MA1103.1	FOXK2
FOXP1_MA0481.2	FOXP1
GATA2_MA0036.3	GATA2
GATA6_MA1104.1	GATA6
GRHL2_MA1105.1	GRHL2
HIF1A_MA1106.1	HIF1A
KLF4_MA0039.3	KLF4
KLF9_MA1107.1	KLF9
MAFF_MA0495.2	MAFF
MAFK_MA0496.2	MAFK
